============================================================
蛋白质数据富集 (并发版) - 从RCSB PDB获取名称
============================================================

共 39226 条记录，使用10线程并发请求

  进度: 18500/39226 (API成功: 9342, 失败: 9158)
  进度: 18600/39226 (API成功: 9391, 失败: 9209)
  进度: 18700/39226 (API成功: 9442, 失败: 9258)
  进度: 18800/39226 (API成功: 9491, 失败: 9309)
  进度: 18900/39226 (API成功: 9541, 失败: 9359)
  进度: 19000/39226 (API成功: 9591, 失败: 9409)
  进度: 19100/39226 (API成功: 9642, 失败: 9458)
  进度: 19200/39226 (API成功: 9692, 失败: 9508)
  进度: 19300/39226 (API成功: 9740, 失败: 9560)
  进度: 19400/39226 (API成功: 9791, 失败: 9609)
  进度: 19500/39226 (API成功: 9840, 失败: 9660)
  进度: 19600/39226 (API成功: 9890, 失败: 9710)
  进度: 19700/39226 (API成功: 9940, 失败: 9760)
  进度: 19800/39226 (API成功: 9991, 失败: 9809)
  进度: 19900/39226 (API成功: 10040, 失败: 9860)
  进度: 20000/39226 (API成功: 10090, 失败: 9910)
  进度: 20100/39226 (API成功: 10139, 失败: 9961)
  进度: 20200/39226 (API成功: 10191, 失败: 10009)
  进度: 20300/39226 (API成功: 10241, 失败: 10059)
  进度: 20400/39226 (API成功: 10290, 失败: 10110)
  进度: 20500/39226 (API成功: 10340, 失败: 10160)
  进度: 20600/39226 (API成功: 10390, 失败: 10210)
  进度: 20700/39226 (API成功: 10441, 失败: 10259)
  进度: 20800/39226 (API成功: 10491, 失败: 10309)
  进度: 20900/39226 (API成功: 10539, 失败: 10361)
  进度: 21000/39226 (API成功: 10590, 失败: 10410)
  进度: 21100/39226 (API成功: 10641, 失败: 10459)
  进度: 21200/39226 (API成功: 10690, 失败: 10510)
  进度: 21300/39226 (API成功: 10740, 失败: 10560)
  进度: 21400/39226 (API成功: 10790, 失败: 10610)
  进度: 21500/39226 (API成功: 10839, 失败: 10661)
  进度: 21600/39226 (API成功: 10888, 失败: 10712)
  进度: 21700/39226 (API成功: 10938, 失败: 10762)
  进度: 21800/39226 (API成功: 10988, 失败: 10812)
  进度: 21900/39226 (API成功: 11036, 失败: 10864)
  进度: 22000/39226 (API成功: 11086, 失败: 10914)
  进度: 22100/39226 (API成功: 11137, 失败: 10963)
  进度: 22200/39226 (API成功: 11187, 失败: 11013)
  进度: 22300/39226 (API成功: 11237, 失败: 11063)
  进度: 22400/39226 (API成功: 11287, 失败: 11113)
  进度: 22500/39226 (API成功: 11336, 失败: 11164)
  进度: 22600/39226 (API成功: 11385, 失败: 11215)
  进度: 22700/39226 (API成功: 11435, 失败: 11265)
  进度: 22800/39226 (API成功: 11486, 失败: 11314)
  进度: 22900/39226 (API成功: 11535, 失败: 11365)
  进度: 23000/39226 (API成功: 11582, 失败: 11418)
  进度: 23100/39226 (API成功: 11634, 失败: 11466)
  进度: 23200/39226 (API成功: 11683, 失败: 11517)
  进度: 23300/39226 (API成功: 11733, 失败: 11567)
  进度: 23400/39226 (API成功: 11782, 失败: 11618)
  进度: 23500/39226 (API成功: 11831, 失败: 11669)
  进度: 23600/39226 (API成功: 11881, 失败: 11719)
  进度: 23700/39226 (API成功: 11932, 失败: 11768)
  进度: 23800/39226 (API成功: 11982, 失败: 11818)
  进度: 23900/39226 (API成功: 12031, 失败: 11869)
  进度: 24000/39226 (API成功: 12081, 失败: 11919)
  进度: 24100/39226 (API成功: 12131, 失败: 11969)
  进度: 24200/39226 (API成功: 12181, 失败: 12019)
  进度: 24300/39226 (API成功: 12232, 失败: 12068)
  进度: 24400/39226 (API成功: 12281, 失败: 12119)
  进度: 24500/39226 (API成功: 12330, 失败: 12170)
  进度: 24600/39226 (API成功: 12382, 失败: 12218)
  进度: 24700/39226 (API成功: 12431, 失败: 12269)
  进度: 24800/39226 (API成功: 12481, 失败: 12319)
  进度: 24900/39226 (API成功: 12531, 失败: 12369)
  进度: 25000/39226 (API成功: 12581, 失败: 12419)
  进度: 25100/39226 (API成功: 12631, 失败: 12469)
  进度: 25200/39226 (API成功: 12680, 失败: 12520)
  进度: 25300/39226 (API成功: 12729, 失败: 12571)
  进度: 25400/39226 (API成功: 12781, 失败: 12619)
  进度: 25500/39226 (API成功: 12830, 失败: 12670)
  进度: 25600/39226 (API成功: 12879, 失败: 12721)
  进度: 25700/39226 (API成功: 12929, 失败: 12771)
  进度: 25800/39226 (API成功: 12978, 失败: 12822)
  进度: 25900/39226 (API成功: 13025, 失败: 12875)
  进度: 26000/39226 (API成功: 13076, 失败: 12924)
  进度: 26100/39226 (API成功: 13126, 失败: 12974)
  进度: 26200/39226 (API成功: 13175, 失败: 13025)
  进度: 26300/39226 (API成功: 13226, 失败: 13074)
  进度: 26400/39226 (API成功: 13275, 失败: 13125)
  进度: 26500/39226 (API成功: 13326, 失败: 13174)
  进度: 26600/39226 (API成功: 13375, 失败: 13225)
  进度: 26700/39226 (API成功: 13426, 失败: 13274)
  进度: 26800/39226 (API成功: 13475, 失败: 13325)
  进度: 26900/39226 (API成功: 13526, 失败: 13374)
  进度: 27000/39226 (API成功: 13575, 失败: 13425)
  进度: 27100/39226 (API成功: 13626, 失败: 13474)
  进度: 27200/39226 (API成功: 13675, 失败: 13525)
  进度: 27300/39226 (API成功: 13724, 失败: 13576)
  进度: 27400/39226 (API成功: 13773, 失败: 13627)
  进度: 27500/39226 (API成功: 13824, 失败: 13676)
  进度: 27600/39226 (API成功: 13874, 失败: 13726)
  进度: 27700/39226 (API成功: 13923, 失败: 13777)
  进度: 27800/39226 (API成功: 13973, 失败: 13827)
  进度: 27900/39226 (API成功: 14024, 失败: 13876)
  进度: 28000/39226 (API成功: 14074, 失败: 13926)
  进度: 28100/39226 (API成功: 14123, 失败: 13977)
  进度: 28200/39226 (API成功: 14173, 失败: 14027)
  进度: 28300/39226 (API成功: 14223, 失败: 14077)
  进度: 28400/39226 (API成功: 14273, 失败: 14127)
  进度: 28500/39226 (API成功: 14323, 失败: 14177)
  进度: 28600/39226 (API成功: 14373, 失败: 14227)
  进度: 28700/39226 (API成功: 14423, 失败: 14277)
  进度: 28800/39226 (API成功: 14474, 失败: 14326)
  进度: 28900/39226 (API成功: 14524, 失败: 14376)
  进度: 29000/39226 (API成功: 14574, 失败: 14426)
  进度: 29100/39226 (API成功: 14622, 失败: 14478)
  进度: 29200/39226 (API成功: 14672, 失败: 14528)
  进度: 29300/39226 (API成功: 14722, 失败: 14578)
  进度: 29400/39226 (API成功: 14772, 失败: 14628)
  进度: 29500/39226 (API成功: 14823, 失败: 14677)
  进度: 29600/39226 (API成功: 14873, 失败: 14727)
  进度: 29700/39226 (API成功: 14921, 失败: 14779)
  进度: 29800/39226 (API成功: 14970, 失败: 14830)
  进度: 29900/39226 (API成功: 15021, 失败: 14879)
  进度: 30000/39226 (API成功: 15071, 失败: 14929)
  进度: 30100/39226 (API成功: 15120, 失败: 14980)
  进度: 30200/39226 (API成功: 15171, 失败: 15029)
  进度: 30300/39226 (API成功: 15220, 失败: 15080)
  进度: 30400/39226 (API成功: 15271, 失败: 15129)
  进度: 30500/39226 (API成功: 15321, 失败: 15179)
  进度: 30600/39226 (API成功: 15370, 失败: 15230)
  进度: 30700/39226 (API成功: 15420, 失败: 15280)
  进度: 30800/39226 (API成功: 15470, 失败: 15330)
  进度: 30900/39226 (API成功: 15520, 失败: 15380)
  进度: 31000/39226 (API成功: 15570, 失败: 15430)
  进度: 31100/39226 (API成功: 15620, 失败: 15480)
  进度: 31200/39226 (API成功: 15671, 失败: 15529)
  进度: 31300/39226 (API成功: 15719, 失败: 15581)
  进度: 31400/39226 (API成功: 15770, 失败: 15630)
  进度: 31500/39226 (API成功: 15820, 失败: 15680)
  进度: 31600/39226 (API成功: 15870, 失败: 15730)
  进度: 31700/39226 (API成功: 15920, 失败: 15780)
  进度: 31800/39226 (API成功: 15970, 失败: 15830)
  进度: 31900/39226 (API成功: 16020, 失败: 15880)
  进度: 32000/39226 (API成功: 16068, 失败: 15932)
  进度: 32100/39226 (API成功: 16117, 失败: 15983)
  进度: 32200/39226 (API成功: 16166, 失败: 16034)
  进度: 32300/39226 (API成功: 16217, 失败: 16083)
  进度: 32400/39226 (API成功: 16268, 失败: 16132)
  进度: 32500/39226 (API成功: 16315, 失败: 16185)
  进度: 32600/39226 (API成功: 16366, 失败: 16234)
  进度: 32700/39226 (API成功: 16416, 失败: 16284)
  进度: 32800/39226 (API成功: 16466, 失败: 16334)
  进度: 32900/39226 (API成功: 16516, 失败: 16384)
